투자사명,투자단계,log_투자유치금액
신한벤처투자,5,5.525452939131784
신한벤처투자,5,4.997212273764115
엔베스터,5,5.525452939131784
엔베스터,5,4.997212273764115
엔베스터,3,3.713572066704308
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,0.1823215567939546
에스오피오오엔지,1,0.1823215567939546
에스오피오오엔지,1,0.1823215567939546
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,2,0.4054651081081644
디쓰리쥬빌리파트너스,2,3.295836866004329
디쓰리쥬빌리파트너스,2,0.4054651081081644
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,3,3.795489189172194
아이비케이기업은행,2,3.295836866004329
아이비케이기업은행,3,3.795489189172194
씨엔티테크,2,1.0986122886681098
씨엔티테크,3,3.795489189172194
중소벤처기업진흥공단,3,3.795489189172194
중소벤처기업진흥공단,3,2.6390573296152584
김기사랩,3,3.795489189172194
김기사랩,1,0.4054651081081644
유진증권,2,2.3978952727983707
유진증권,3,3.795489189172194
벤처스퀘어,3,3.795489189172194
벤처스퀘어,1,0.6931471805599453
비에이파트너스,3,2.6390573296152584
비에이파트너스,3,3.795489189172194
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,2,3.1135153092103742
블루포인트파트너스,2,3.1135153092103742
블루포인트파트너스,1,0.6931471805599453
스트롱벤처스,3,4.465908118654584
스트롱벤처스,2,3.1135153092103742
스트롱벤처스,2,3.044522437723423
스톤브릿지벤처스,2,3.1135153092103742
스톤브릿지벤처스,2,3.044522437723423
윤민창의투자재단,3,3.713572066704308
윤민창의투자재단,6,5.968707559985366
제이비인베스트먼트,6,5.968707559985366
제이비인베스트먼트,5,4.61512051684126
제이비인베스트먼트,3,3.713572066704308
한국투자파트너스,6,5.968707559985366
한국투자파트너스,5,4.61512051684126
두나무앤파트너스,5,4.61512051684126
두나무앤파트너스,6,5.968707559985366
두나무앤파트너스,6,5.525452939131784
한국산업은행,6,5.968707559985366
한국산업은행,6,5.525452939131784
우리벤처파트너스,5,4.61512051684126
우리벤처파트너스,6,5.968707559985366
비에스케이인베스트먼트,6,5.968707559985366
비에스케이인베스트먼트,6,5.525452939131784
티그리스인베스트먼트,5,4.61512051684126
티그리스인베스트먼트,3,3.713572066704308
티그리스인베스트먼트,6,5.968707559985366
메디치인베스트먼트,6,5.525452939131784
메디치인베스트먼트,6,5.968707559985366
대신증권,6,5.525452939131784
대신증권,6,5.968707559985366
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,2,1.871802176901592
디쓰리쥬빌리파트너스,2,1.791759469228055
디쓰리쥬빌리파트너스,2,1.871802176901592
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,1,0.4054651081081644
윤민창의투자재단,1,2.833213344056216
윤민창의투자재단,1,1.7578579175523736
윤민창의투자재단,1,0.9555114450274363
한국벤처투자,1,1.7578579175523736
한국벤처투자,1,0.6931471805599453
연세대학교기술지주,1,2.833213344056216
연세대학교기술지주,1,1.7578579175523736
더인벤션랩,1,2.833213344056216
더인벤션랩,1,2.833213344056216
신용보증기금,1,2.833213344056216
신용보증기금,1,2.833213344056216
신용보증기금,2,3.295836866004329
고려대학교기술지주회사,1,2.833213344056216
고려대학교기술지주회사,2,3.4339872044851463
씨앤벤처파트너스,1,2.833213344056216
씨앤벤처파트너스,2,1.916922612182061
네이버,1,2.833213344056216
네이버,2,3.555348061489413
네이버,2,3.688879454113936
카카오벤처스,1,2.833213344056216
카카오벤처스,2,3.688879454113936
아이비케이기업은행,2,3.555348061489413
아이비케이기업은행,2,3.688879454113936
신한캐피탈,1,2.833213344056216
신한캐피탈,2,3.688879454113936
한국산업은행,2,3.688879454113936
한국산업은행,2,3.555348061489413
비하이인베스트먼트,2,3.688879454113936
비하이인베스트먼트,2,3.555348061489413
현대자동차,2,3.555348061489413
현대자동차,2,3.688879454113936
네이버,1,2.833213344056216
네이버,3,3.4339872044851463
케이비인베스트먼트,3,3.4339872044851463
케이비인베스트먼트,3,3.4339872044851463
블록크래프터스,1,2.833213344056216
블록크래프터스,3,3.4339872044851463
네이버,1,2.833213344056216
네이버,3,4.110873864173311
네이버,3,4.189654742026425
슈미트,3,4.189654742026425
슈미트,3,4.110873864173311
본엔젤스벤처파트너스,3,4.110873864173311
본엔젤스벤처파트너스,3,4.189654742026425
케이비인베스트먼트,3,4.189654742026425
케이비인베스트먼트,3,4.110873864173311
네이버,1,2.833213344056216
